,MON,TUE,WED,THUR,FRI,SAT,SUN
CLT1,30-Dec-2019,31-Dec-2019,1-Jan-2020,2-Jan-2020,3-Jan-2020,4-Jan-2020,5-Jan-2020
CLT2,6-Jan-2020,7-Jan-2020,8-Jan-2020,9-Jan-2020,10-Jan-2020,11-Jan-2020,12-Jan-2020
CLT3,13-Jan-2020,14-Jan-2020,15-Jan-2020,16-Jan-2020,17-Jan-2020,18-Jan-2020,19-Jan-2020
CLT4,20-Jan-2020,21-Jan-2020,22-Jan-2020,23-Jan-2020,24-Jan-2020,25-Jan-2020,26-Jan-2020
CLT5,27-Jan-2020,28-Jan-2020,29-Jan-2020,30-Jan-2020,31-Jan-2020,1-Feb-2020,2-Feb-2020
CLT6,3-Feb-2020,4-Feb-2020,5-Feb-2020,6-Feb-2020,7-Feb-2020,8-Feb-2020,9-Feb-2020
CLT7,10-Feb-2020,11-Feb-2020,12-Feb-2020,13-Feb-2020,14-Feb-2020,15-Feb-2020,16-Feb-2020
CLT8,17-Feb-2020,18-Feb-2020,19-Feb-2020,20-Feb-2020,21-Feb-2020,22-Feb-2020,23-Feb-2020
CLT9,24-Feb-2020,25-Feb-2020,26-Feb-2020,27-Feb-2020,28-Feb-2020,29-Feb-2020,1-Mar-2020
CLT10,2-Mar-2020,3-Mar-2020,4-Mar-2020,5-Mar-2020,6-Mar-2020,7-Mar-2020,8-Mar-2020
CLT11,9-Mar-2020,10-Mar-2020,11-Mar-2020,12-Mar-2020,13-Mar-2020,14-Mar-2020,15-Mar-2020
CLT12,16-Mar-2020,17-Mar-2020,18-Mar-2020,19-Mar-2020,20-Mar-2020,21-Mar-2020,22-Mar-2020
CLT13,23-Mar-2020,24-Mar-2020,25-Mar-2020,26-Mar-2020,27-Mar-2020,28-Mar-2020,29-Mar-2020
CLT14,30-Mar-2020,31-Mar-2020,1-Apr-2020,2-Apr-2020,3-Apr-2020,4-Apr-2020,5-Apr-2020
CLT15,6-Apr-2020,7-Apr-2020,8-Apr-2020,9-Apr-2020,10-Apr-2020,11-Apr-2020,12-Apr-2020
CLT16,13-Apr-2020,14-Apr-2020,15-Apr-2020,16-Apr-2020,17-Apr-2020,18-Apr-2020,19-Apr-2020
CLT17,20-Apr-2020,21-Apr-2020,22-Apr-2020,23-Apr-2020,24-Apr-2020,25-Apr-2020,26-Apr-2020
CLT18,27-Apr-2020,28-Apr-2020,29-Apr-2020,30-Apr-2020,1-May-2020,2-May-2020,3-May-2020
CLT19,4-May-2020,5-May-2020,6-May-2020,7-May-2020,8-May-2020,9-May-2020,10-May-2020
CLT20,11-May-2020,12-May-2020,13-May-2020,14-May-2020,15-May-2020,16-May-2020,17-May-2020
CLT21,18-May-2020,19-May-2020,20-May-2020,21-May-2020,22-May-2020,23-May-2020,24-May-2020
CLT22,25-May-2020,26-May-2020,27-May-2020,28-May-2020,29-May-2020,30-May-2020,31-May-2020
CLT23,1-Jun-2020,2-Jun-2020,3-Jun-2020,4-Jun-2020,5-Jun-2020,6-Jun-2020,7-Jun-2020
CLT24,8-Jun-2020,9-Jun-2020,10-Jun-2020,11-Jun-2020,12-Jun-2020,13-Jun-2020,14-Jun-2020
CLT25,15-Jun-2020,16-Jun-2020,17-Jun-2020,18-Jun-2020,19-Jun-2020,20-Jun-2020,21-Jun-2020
CLT26,22-Jun-2020,23-Jun-2020,24-Jun-2020,25-Jun-2020,26-Jun-2020,27-Jun-2020,28-Jun-2020
CLT27,29-Jun-2020,30-Jun-2020,1-Jul-2020,2-Jul-2020,3-Jul-2020,4-Jul-2020,5-Jul-2020
CLT28,6-Jul-2020,7-Jul-2020,8-Jul-2020,9-Jul-2020,10-Jul-2020,11-Jul-2020,12-Jul-2020
CLT29,13-Jul-2020,14-Jul-2020,15-Jul-2020,16-Jul-2020,17-Jul-2020,18-Jul-2020,19-Jul-2020
CLT30,20-Jul-2020,21-Jul-2020,22-Jul-2020,23-Jul-2020,24-Jul-2020,25-Jul-2020,26-Jul-2020
CLT31,27-Jul-2020,28-Jul-2020,29-Jul-2020,30-Jul-2020,31-Jul-2020,1-Aug-2020,2-Aug-2020
CLT32,3-Aug-2020,4-Aug-2020,5-Aug-2020,6-Aug-2020,7-Aug-2020,8-Aug-2020,9-Aug-2020
CLT33,10-Aug-2020,11-Aug-2020,12-Aug-2020,13-Aug-2020,14-Aug-2020,15-Aug-2020,16-Aug-2020
CLT34,17-Aug-2020,18-Aug-2020,19-Aug-2020,20-Aug-2020,21-Aug-2020,22-Aug-2020,23-Aug-2020
CLT35,24-Aug-2020,25-Aug-2020,26-Aug-2020,27-Aug-2020,28-Aug-2020,29-Aug-2020,30-Aug-2020
CLT36,31-Aug-2020,1-Sep-2020,2-Sep-2020,3-Sep-2020,4-Sep-2020,5-Sep-2020,6-Sep-2020
CLT37,7-Sep-2020,8-Sep-2020,9-Sep-2020,10-Sep-2020,11-Sep-2020,12-Sep-2020,13-Sep-2020
CLT38,14-Sep-2020,15-Sep-2020,16-Sep-2020,17-Sep-2020,18-Sep-2020,19-Sep-2020,20-Sep-2020
CLT39,21-Sep-2020,22-Sep-2020,23-Sep-2020,24-Sep-2020,25-Sep-2020,26-Sep-2020,27-Sep-2020
CLT40,28-Sep-2020,29-Sep-2020,30-Sep-2020,1-Oct-2020,2-Oct-2020,3-Oct-2020,4-Oct-2020
CLT41,5-Oct-2020,6-Oct-2020,7-Oct-2020,8-Oct-2020,9-Oct-2020,10-Oct-2020,11-Oct-2020
CLT42,12-Oct-2020,13-Oct-2020,14-Oct-2020,15-Oct-2020,16-Oct-2020,17-Oct-2020,18-Oct-2020
CLT43,19-Oct-2020,20-Oct-2020,21-Oct-2020,22-Oct-2020,23-Oct-2020,24-Oct-2020,25-Oct-2020
